nota,[3.62235562]
4,[13.69168396]
3.9,[22.11526559]
5,[-1.33430263]
3.5,[22.57286563]
1.5,[-2.23679887]
3.7,[13.40910855]
5,[31.59904721]
4.8,[9.25308096]
5,[27.89182699]
4.5,[9.58097506]
1.7,[-12.73443198]
4.5,[23.40806847]
4.5,[33.78354816]
1.5,[-1.35705894]
4,[15.31824844]
5,[23.42065109]
3.5,[14.84913506]
5,[19.68947966]
4.4,[6.04798666]
4.3,[34.53409989]
3.8,[13.89421792]
5,[20.20258758]
4,[18.65249705]
5,[8.17841569]
4.5,[8.82125019]
4.5,[15.07696461]
5,[7.6010372]
4.5,[7.59202117]
5,[14.08410514]
3.8,[8.55049121]
4.7,[10.67480658]
4.5,[38.95931308]
4,[11.36033755]
4.5,[15.73400016]
5,[37.60292408]
3,[8.73519103]
1.5,[3.31508476]
4,[16.61123884]
5,[9.94770496]
4.3,[26.70413999]
5,[12.39087582]
4,[7.92322952]
2.8,[19.29790009]
5,[57.48436383]
4.4,[12.52833487]
5,[21.09114592]
4,[27.03028653]
5,[3.62235562]
5,[27.69803453]
1.5,[-10.22536257]
4.4,[5.2789705]
5,[34.92628024]
4.1,[8.06453598]
4,[27.32382961]
3,[4.78126427]
5,[22.65631127]
4.5,[29.00471148]
4,[23.83948699]
3.5,[0.58470974]
4,[29.6446173]
5,[44.146482]
4,[14.34499804]
4.6,[6.42722033]
5,[28.92885939]
3,[21.12650639]
3.8,[-1.1171796]
5,[16.6378071]
4.8,[21.71797962]
4,[6.65462562]
4.1,[-0.17828527]
5,[19.53468603]
3.7,[18.00328767]
4,[7.9768236]
5,[34.47457371]
2.1,[-0.40847681]
1.5,[-11.82258402]
4,[6.14290966]
3.8,[5.62960139]
1.5,[-9.46882601]
1.5,[6.22529184]
3.9,[28.77362006]
1.5,[-20.91785251]
4.5,[34.25318243]
3.5,[4.60595297]
5,[15.55712405]
4,[32.69317952]
5,[17.51542531]
3.6,[6.4550234]
5,[30.33358307]
3,[0.938573]
1.5,[-18.65987364]
4.5,[19.30401989]
2,[-9.37493901]
5,[13.89941614]
5,[22.09006278]
3.7,[0.45848054]
2.5,[18.35544366]
5,[23.66725476]
4,[9.59314354]
1.5,[-16.07345922]
4.1,[12.22632874]
5,[37.58369389]
5,[14.38261995]
4.1,[9.15536394]
3,[2.27512983]
4,[1.98897904]
5,[23.67244408]
4.8,[20.11864242]
1.5,[-3.17573404]
4.5,[4.79306608]
4.6,[17.21806775]
3.4,[-5.51728136]
1.5,[-31.86723599]
4,[7.27444101]
4.5,[24.70396606]
1.5,[3.69126226]
4.5,[19.37763221]
3,[1.26876501]
5,[9.54973609]
3.7,[17.69187112]
3.1,[13.47419708]
5,[16.53447815]
3,[-15.93539271]
5,[25.16171382]
5,[7.00261986]
5,[35.60050653]
4.2,[15.69470578]
1.5,[-19.39825839]
2,[5.89023463]
1.5,[-9.39048203]
5,[41.23120281]
4.5,[5.3404859]
5,[32.0879745]
3.5,[10.92286436]
4,[14.05236839]
4.8,[29.89415475]
4.8,[3.90964895]
5,[48.16091484]
3.3,[9.62516216]
5,[23.35520512]
3,[8.31621788]
3.9,[38.31944105]
4.8,[24.18826877]
2.2,[-19.44827103]
3.9,[5.97260697]
2,[-20.60681795]
3.2,[4.43451556]
3,[1.04621787]
3.8,[9.9605616]
4.9,[8.70060088]
5,[38.54770095]
5,[2.95516691]
4.3,[15.54089871]
5,[28.5728783]
5,[32.1380512]
4.3,[21.5455803]
4.2,[25.17959636]
4.5,[27.52611844]
1,[-2.64233633]
2,[-2.49549253]
3.4,[5.85500661]
5,[31.08972937]
1.9,[14.45164987]
4,[7.96483705]
4.3,[27.02636003]
4.9,[18.89778536]
3.5,[-1.15780074]
4,[23.14071754]
4.5,[15.00702544]
4.5,[30.58381128]
5,[2.60485493]
5,[13.32091096]
3,[28.15976257]
5,[26.10896612]
4.5,[9.02638606]
5,[19.8934656]
4.5,[22.09505773]
4.5,[19.36038065]
5,[33.2739425]
2,[-1.49206058]
5,[14.63507761]
5,[15.12263456]
5,[17.95743958]
3.6,[22.41605703]
4,[19.36595616]
5,[22.10757064]
5,[7.22461281]
1.6,[-1.65096075]
4.8,[7.04381999]
1.5,[3.18323426]
2.5,[17.09553862]
2.9,[-2.466717]
4.8,[18.01128076]
3,[-12.33906622]
4.5,[27.24295509]
4,[-1.22362187]
5,[34.46234208]
5,[8.86825074]
3.2,[15.05635984]
4,[12.42357995]
5,[11.49830414]
4.1,[14.32624376]
4.5,[16.99073827]
3.5,[0.09692343]
3.9,[2.49806389]
